Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21,Stage 22,Stage 23,Stage 24,Stage 25,Stage 26,Stage 27,Stage 28,Stage 29,Stage 30,Stage 31,Stage 32,Stage 33,Stage 34,Stage 35,Stage 36,Stage 37,Stage 38,Stage 39,Stage 40,Stage 41
204989.81,196164.31,205221.44,215540.28,214253.03,215782.25,218214.56,216920.36,216440.25,210222.55,208674.67,202931.06,202752.9,195873.44,193225.47,195121.3,194353.97,190794.45,194668.0,190106.8,192905.55,187231.03,187163.44,186491.92,185783.88,183064.36,187015.62,184228.55,178374.9,179032.38,175543.56,175566.48,171610.64,174211.66,167704.72,171471.02,169227.62,163652.1,163655.47,161046.16,156151.33,156392.86
205360.78,196714.44,206196.73,213627.02,217120.94,215569.5,217511.53,213974.81,211512.02,210527.81,206961.78,205716.81,199064.69,200741.03,194523.1,194354.94,195527.22,191123.34,189180.16,192765.12,194987.69,188156.69,188432.3,185060.03,188151.39,181065.53,184513.53,183454.02,181533.72,180935.67,179273.47,174586.31,176056.1,171279.9,172987.22,170344.42,168339.53,165721.44,165407.36,160955.94,160536.19,162225.98
201036.84,193672.03,205099.56,214463.34,215932.6,215513.73,219500.28,214117.56,215082.88,209397.03,205183.12,202001.16,197020.48,197382.31,192796.38,196398.1,194109.94,192696.47,188776.02,192881.81,189683.78,188911.69,185165.58,186871.62,187593.08,184425.98,183024.64,178542.03,179739.62,180208.22,174725.58,173042.5,174775.66,171971.38,171090.6,165860.69,168875.44,166226.45,163463.42,159549.8,160533.94,156627.5
203179.38,198786.39,205517.28,216287.94,214260.95,218061.52,218236.56,213846.38,210667.81,207490.53,205192.5,203230.56,201661.53,197005.5,192906.1,195426.03,196620.58,191027.88,195331.66,193687.72,192702.12,186128.5,183412.4,186870.84,188657.25,185619.95,182689.05,183736.1,177848.58,180282.06,177594.94,177175.53,179499.75,169256.19,173317.55,169439.6,168795.22,169602.83,170240.38,164614.72,155568.98,162260.12
203818.5,200164.4,205358.47,213448.66,218548.53,218572.98,219097.7,218647.69,217092.78,209746.4,206918.48,199270.52,204642.22,199101.73,195301.38,196116.33,194170.66,194902.53,192041.66,192238.34,189884.34,188569.6,187055.34,187531.16,185103.97,184610.34,187693.4,183201.66,178865.8,179069.38,177015.19,175470.56,173114.44,177503.92,172365.67,168906.88,162858.22,163945.94,166032.38,163206.4,161459.25,162777.88
200918.56,197867.81,205962.61,214120.84,217566.62,219081.66,216521.12,213127.88,213491.75,208178.2,206086.23,203872.03,199194.22,200763.16,196119.62,196274.34,191671.77,195393.84,194142.9,191015.9,186747.34,186939.4,190785.34,188550.72,187020.22,184340.08,185039.4,183643.47,180084.0,178067.56,177075.62,174946.03,174709.61,170865.94,168977.05,170488.75,166892.2,164358.27,168227.95,165119.84,157813.92,158429.27
205410.03,197237.44,207862.6,214874.14,215628.75,215046.4,215162.33,215896.53,215330.25,210091.81,205388.28,205429.34,202467.47,197622.86,195976.81,199105.0,191811.34,191464.12,191640.9,189169.69,188114.27,184547.86,185693.19,186777.75,190121.27,183428.53,181970.47,181722.81,182212.34,183554.31,173105.12,174900.61,173072.03,171177.25,173170.2,171419.8,168387.28,163384.36,167841.48,163703.72,157884.6,160189.08
202269.62,198325.78,205719.69,213384.5,217292.28,220010.58,216220.83,211941.23,210389.61,209094.6,206609.6,201212.66,200046.6,198266.9,193912.97,196569.03,192286.1,190958.42,193468.84,190206.39,193787.19,184766.05,186105.12,183608.78,187717.19,186366.83,184030.38,181047.84,183428.0,178882.97,179848.94,173208.44,172061.31,170377.17,172369.31,169547.36,168955.47,167032.06,164936.44,161628.44,157074.1,157914.5
207008.12,199832.06,206083.5,212317.25,217404.0,216910.95,215325.42,213630.95,211520.34,211093.69,204514.2,207209.58,200133.1,196144.34,196258.78,193828.38,193213.62,191612.33,192457.52,190296.89,194804.56,190836.03,187157.03,185631.45,188472.83,183277.52,182595.4,182285.31,180072.23,181297.9,178296.38,174238.16,171521.75,174245.7,169472.62,168940.06,168072.72,167064.62,162775.84,162019.97,161714.69,161628.06
204858.25,197978.6,209520.44,213151.36,215587.88,218455.69,216622.67,213446.2,212922.78,209593.62,205657.95,202144.55,201966.84,197625.78,193598.2,196902.78,195147.4,194037.27,191064.98,192406.12,190722.75,185785.8,188473.6,188563.69,187315.78,185971.08,182583.66,180673.06,183073.0,179734.44,178868.28,178482.67,176262.75,170912.36,172882.81,170866.4,166852.95,167209.94,165067.47,162750.42,159034.12,157620.4
206864.6,197926.4,204659.78,214431.97,214621.31,215698.11,214804.28,214918.38,215528.75,210874.66,209742.0,201338.81,201180.28,195933.89,198087.53,193522.84,192536.84,188857.28,192594.69,193699.16,189784.84,185816.6,183560.31,186650.5,188434.84,184190.19,184667.03,183233.84,181628.31,179846.94,173327.38,172867.31,176347.92,168141.6,171066.92,169451.38,164553.39,166376.69,167064.69,159968.56,156664.47,161891.97
203750.31,196069.44,203214.64,213431.44,213913.19,218657.14,217639.66,214258.97,210537.14,210494.6,204853.72,204875.12,202385.81,197890.1,194157.12,198041.03,192868.4,189907.19,193742.69,191717.14,189880.72,189522.47,184139.7,187700.73,186801.06,182379.98,182285.1,183023.22,178673.06,176726.03,175324.05,175777.47,171335.69,176155.03,173412.36,171700.84,167070.81,163924.22,166387.12,161833.78,155912.98,158880.53
203921.28,194265.55,208094.12,212406.62,215643.45,216154.6,216569.47,211647.64,214527.89,213276.58,207268.44,201000.5,198777.19,194533.52,194069.64,195487.92,196964.02,195092.45,190555.84,190354.56,188373.94,187684.12,187002.81,183091.34,189010.84,184507.28,182295.53,182588.84,181578.44,179931.31,174457.72,176410.9,174604.34,174147.7,168878.7,171894.77,168061.56,168620.28,162939.34,165344.94,158977.22,160771.11
203882.34,197951.06,205599.69,216085.22,215357.44,214240.95,221014.3,212429.38,212479.11,209974.9,206714.72,203306.55,198800.02,199333.34,195415.42,195486.81,192022.23,189205.02,193586.5,191155.66,190826.69,189002.7,185674.8,188323.34,187855.36,184750.56,186627.75,183336.81,177992.69,181137.4,179690.4,173925.53,172849.81,171218.84,171762.33,170294.0,165093.48,164178.02,165277.94,162252.78,157745.83,161800.23
207064.78,198786.53,204913.58,214814.4,216110.23,219387.5,216032.36,212101.16,213175.31,209299.34,204359.16,204456.7,204074.69,199372.45,195085.14,199757.69,195793.48,191215.84,194131.28,190276.22,195255.97,186954.47,191910.56,184545.8,184479.4,182377.19,183344.8,180092.27,184827.16,182279.28,174976.03,177639.5,172617.89,169408.53,168408.6,172189.23,169110.03,168150.5,167085.27,161274.22,156294.36,159250.6
204217.47,196732.48,202703.69,213948.73,215908.47,218237.05,217600.22,213931.9,214319.9,211398.77,208636.12,202917.23,202620.97,197034.53,193359.83,200056.84,193643.05,192197.25,192208.34,193001.89,194147.97,190181.64,187846.97,187998.75,184697.1,188857.83,178097.8,180488.5,183674.62,181044.34,177311.47,176053.67,174452.44,173605.6,172141.58,170064.75,170176.5,163956.0,167394.88,159211.75,159245.47,157911.06
