Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
177299.44,174396.53,178258.38,177269.84,174836.0,175593.1,177235.19,178696.94,181149.66,177003.61,183238.61,181392.66,183065.38,182910.16,180111.88,187049.03,186743.56,196397.31,205215.92,203120.27
179269.47,175842.84,179918.73,176756.86,179940.72,176452.78,179306.0,180972.12,179463.73,179552.03,180771.06,179977.12,181923.81,183345.1,179038.62,182259.22,189320.72,193790.9,198646.77,204728.83
174523.28,176564.45,172057.72,179811.9,175338.5,175235.06,179683.36,180760.56,179467.81,178389.53,183046.27,177145.14,182607.06,185137.0,185368.1,186291.62,184377.62,194728.9,203417.31,205492.42
176682.23,175227.19,176843.88,175332.0,175724.03,177435.1,177314.6,179198.88,178283.78,181760.9,183468.94,182306.84,182493.56,184656.47,180148.53,180660.1,185297.6,195681.9,197671.33,202196.5
179983.2,177916.08,178357.34,176305.02,178369.66,176908.8,180721.81,177284.89,179923.84,180840.88,184339.92,179649.5,179210.52,182379.47,181249.16,185883.34,184727.0,194194.1,201470.86,203756.42
173349.75,180243.38,179390.19,175146.38,175876.03,177771.17,175666.28,180343.84,178863.05,180219.4,177374.98,182042.42,182802.28,182856.66,182094.14,185412.16,186134.56,193183.33,200232.88,204755.75
176884.33,178127.52,173140.72,177289.6,173716.47,176617.28,177185.42,175890.5,180435.08,179459.44,182658.16,180638.06,179949.62,181314.88,179791.19,186434.56,185214.47,192385.1,200756.34,205312.3
174227.62,177469.0,177114.47,172745.6,182876.31,178988.42,178036.81,178370.02,180956.81,180657.4,181366.34,185654.8,182842.19,183106.08,186292.28,183248.73,187871.56,191969.1,199112.78,202768.19
176972.31,174952.22,173963.4,178229.78,178499.1,176530.84,181853.31,176454.0,176038.0,175757.81,180999.98,182501.81,183002.53,185160.44,185999.94,181131.33,184278.77,195219.95,200462.47,204310.44
176124.06,176628.1,175703.3,175486.06,177871.64,174583.42,177043.5,182282.69,179532.62,178080.05,181506.64,183363.45,184887.53,180894.84,186479.42,185993.06,188816.67,193734.23,201221.92,202142.47
178169.94,177884.97,171130.45,176106.88,182982.94,178834.84,178763.6,178360.88,181758.58,179502.88,180412.88,181309.31,180611.89,185783.48,185296.88,185007.53,188612.38,191181.89,200685.94,202472.62
176587.06,177159.75,175237.69,180631.19,177124.94,177588.62,174769.86,176199.97,181702.48,177950.4,180997.84,178966.56,181526.2,183222.4,186646.9,182457.78,187633.03,197936.9,199360.8,200337.89
178949.11,176095.9,175138.38,177672.94,176737.42,178673.19,178743.19,183098.06,178421.06,177065.94,179826.22,182014.53,177682.22,185274.47,185132.92,184574.94,187849.69,194470.11,202057.53,202235.66
172463.62,179020.5,175578.95,175975.31,176072.19,176906.77,180848.84,180848.5,180605.62,181014.47,182476.06,182037.25,181773.4,183483.19,184623.94,185546.42,187879.69,197342.38,198572.31,202924.53
173048.9,179239.19,177103.6,179946.28,177756.03,177478.58,177694.55,180256.56,180700.75,180259.9,182691.28,182615.94,183083.62,179636.67,184198.03,190735.55,187555.67,195008.97,198076.08,203696.1
179212.1,175462.78,177590.6,178082.55,175594.83,177412.02,178973.67,181019.53,178983.47,181734.22,182961.4,182787.69,182165.66,179838.44,186641.1,187100.94,186201.06,192814.16,202239.56,202651.14
179336.78,174300.81,175518.31,175596.28,179207.28,179305.19,177882.97,176344.19,174492.27,183615.1,178096.62,183608.28,182911.88,186358.81,183278.97,187383.17,188305.0,196131.86,201214.72,203152.44
174783.05,180100.6,174305.9,171547.08,177487.78,178085.66,181155.62,183337.95,180935.72,179502.12,180258.5,180661.53,183580.38,185765.31,182322.75,182425.62,189664.66,193781.1,196801.0,203502.78
172061.69,178567.44,175972.1,181665.56,175939.98,179521.47,180835.31,178708.38,181083.81,178868.44,183096.28,180814.12,184227.06,185050.03,184470.42,184053.88,186269.75,195502.22,197452.98,203746.06
174556.44,175151.84,177044.12,175472.25,175891.62,178776.28,178597.47,179991.58,181483.23,177264.6,182532.8,179629.97,180422.97,182074.56,184806.33,185178.19,186739.28,194448.06,203295.42,203218.45
174733.25,172433.23,173295.72,177210.73,177201.53,179028.05,181131.94,181115.62,179166.6,182242.11,181618.78,181094.75,182326.69,180821.92,187183.42,187286.75,185383.03,193804.7,201898.89,201955.94
181646.1,176008.22,174441.69,171476.52,175601.02,176451.53,178951.45,177593.6,182856.12,179154.8,179008.95,178176.31,182070.34,181417.47,183564.77,185516.44,186616.5,193081.1,198836.75,202150.72
181849.72,173202.84,176182.5,178109.72,177636.03,176836.97,178904.56,179585.56,178693.12,180360.28,178639.2,181298.08,181352.88,188105.75,183301.06,182523.22,186779.19,196866.78,197562.72,205823.22
181146.47,179133.9,172113.28,174884.33,176865.36,177979.1,174712.69,181628.44,182007.06,182062.28,178403.02,185236.03,180213.69,182547.9,182608.88,185984.4,185593.81,193812.8,199218.81,206029.8
173579.25,177208.5,177714.55,174372.78,176962.34,177321.06,174371.0,179553.34,180608.22,174851.4,180162.81,180082.4,181692.56,182393.62,185890.14,186110.3,184751.78,191961.0,199488.53,202612.97
173619.47,175532.64,177358.0,175583.56,178509.56,176613.19,176593.81,176899.72,174412.27,182111.97,182514.5,177426.11,183273.22,184571.25,184481.1,185608.39,190306.56,190743.69,200408.66,202484.42
