Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
181515.6,185650.84,184641.61,182490.5,184669.47,183304.3,184379.97,184657.28,186808.81,188017.08,186137.84,184476.75,183397.34,187033.25,190106.42,190684.34,190402.75,199989.69,203142.5,202142.47
183236.38,182607.42,181477.66,184235.92,183246.0,184362.75,185016.38,184674.56,188955.62,183628.4,186836.28,183681.78,186757.53,185994.84,186474.25,187063.22,190596.39,199594.94,199050.84,202472.62
185932.31,183603.0,180979.88,185077.62,184073.55,185428.5,182701.0,185380.11,183488.31,188812.67,186946.81,185331.55,191995.03,184661.11,188627.34,189216.06,188285.34,198525.56,197952.61,200337.89
185161.47,179326.62,182419.69,186287.97,189346.77,187053.02,184824.5,188684.47,184725.75,185434.5,187264.25,187436.25,189238.06,188441.16,187996.5,191445.64,190921.62,199263.95,199927.5,205492.42
180858.28,182431.69,181391.69,187541.8,186575.34,186902.55,184177.47,184747.44,187062.19,184686.47,187098.8,187164.16,188512.88,187692.38,190169.84,191911.03,193241.17,196209.44,200438.38,202196.5
180135.0,180248.75,182585.81,182456.36,183579.2,183434.4,182110.81,187970.27,188316.6,186359.64,187577.84,190476.69,188476.89,191202.25,187241.33,189253.53,190445.45,198588.28,199105.67,204755.75
181014.25,180622.16,184670.0,183845.28,186011.84,182876.19,182050.34,188239.56,183335.27,186710.69,184785.25,190363.06,187515.44,188895.55,186835.77,188831.94,192926.84,193869.5,198251.05,202235.66
183721.12,180476.72,182132.9,182624.16,182210.16,184614.47,186605.5,182998.72,183000.53,186683.03,188186.44,189632.97,187404.38,186577.25,186087.97,192186.73,193994.1,196782.1,201352.08,202924.53
181025.1,184259.75,182979.25,185238.53,183688.64,187930.53,182147.6,180948.53,186958.86,187038.86,186203.33,186382.69,188015.56,187347.45,187984.2,190642.52,190189.25,200561.72,200259.62,203696.1
184029.78,181693.38,183662.22,185568.83,184056.97,186847.4,187343.55,187135.94,184310.53,187855.0,190142.19,186255.1,188301.88,189864.22,189583.25,189533.72,193831.84,198103.0,201847.88,202651.14
182682.69,182700.56,181499.5,182375.05,180549.4,186306.2,183659.47,187206.06,180867.25,185887.56,192388.19,184432.22,188553.05,186349.25,190325.06,189635.16,189567.02,197781.19,199833.34,203152.44
183705.86,182248.97,182995.98,182627.73,184507.9,184063.8,183928.1,182869.78,185167.86,183549.58,185281.97,187863.02,192599.16,187505.44,189533.55,190159.39,188439.48,197036.84,202036.81,203502.78
182028.53,188066.88,183101.94,182569.53,184256.44,183521.22,183806.75,188323.02,184581.4,186030.42,183607.4,185895.9,186323.25,188404.47,188843.19,190772.48,190583.45,194815.12,200755.22,203746.06
181928.31,183131.16,183521.19,186923.34,182038.12,184436.14,184422.44,187547.77,185490.44,186343.0,186803.38,190769.66,186134.58,192706.12,187738.75,187603.53,192687.9,196428.38,204156.69,203218.45
183762.28,184417.06,185293.38,184713.78,182412.05,185692.9,183530.8,185640.03,187169.16,182110.86,185416.84,185286.16,185663.47,191550.28,189441.16,191627.12,190188.58,198983.19,200767.97,201955.94
183661.75,184810.12,184570.16,183408.84,183686.62,187108.78,184028.16,182069.86,183995.22,184072.48,183820.06,185415.42,187428.22,190057.0,190796.28,188466.88,190171.05,199901.94,198093.97,203370.28
183878.69,180597.84,183933.55,182361.47,185001.03,182052.42,188660.66,185962.31,181635.19,184740.97,185417.66,185245.44,186250.47,189875.72,189198.94,185314.81,189485.88,200997.47,198940.89,202150.72
182134.56,181156.89,183809.84,184484.11,184534.22,181661.6,185415.72,188265.72,184532.28,189874.06,183715.14,183809.62,190085.0,189855.14,188311.78,191938.06,192703.19,199536.6,199165.95,205823.22
179883.44,181695.61,186925.72,183618.14,181482.12,183401.44,184001.06,181455.53,185068.75,185933.66,184763.75,186826.73,187010.94,187174.6,188129.66,188768.0,193039.44,193967.66,202138.56,201760.44
186358.73,181966.47,181358.22,185115.4,186606.81,183152.53,183471.69,182990.28,187314.5,185029.4,185929.5,187738.58,184011.97,186614.52,185103.81,190443.0,190912.42,195394.9,201846.81,206029.8
181821.44,182459.64,181128.47,184252.81,182696.56,182214.69,184018.34,184700.0,188266.53,185218.58,185934.56,190171.12,187277.55,191100.66,189848.36,190677.22,192560.84,195914.03,199897.78,202612.97
